id,name,aliases,category,bullet_diameter_mm,bullet_diameter_in,case_length_mm,rim_diameter_mm,rim_type,base_diameter_mm,shoulder_diameter_mm,neck_diameter_mm,max_pressure_bar,case_volume_cm3,primer_type,intro_year,origin_country,description,wiki_url,data_note
17_hmr,.17 Hornady Magnum Rimfire,.17 Hornady Magnum Rimfire,Rimfire,4.38,0.172,26.8,7.4,Rimmed,6.13,5.7,4.8,1800,0.65,Rimfire,2002,États-Unis,Obtenu en rétreignant un étui de .22 WMR au calibre .17. Vitesse de sortie exceptionnelle pour un calibre à percussion annulaire (plus de 770 m/s).,,
204_ruger,.204 Ruger,204 Ruger|.204 Ruger,Rifle,5.18,0.204,47,9.6,Rimmed,9.56,9.14,5.87,3964,1.853,Small Rifle,2004,États-Unis,Développé en partenariat avec Hornady et Ruger. Un calibre 'varmint' (petite nuisible) tirant à très haute vélocité (1280 m/s) à trajectoire ultra-tendue.,,
22_creedmoor,.22 Creedmoor,22 Creedmoor,Rifle,5.7,0.224,49,12.01,Rimless,11.95,11.73,6.3,4275,3.059,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
22_hornet,.22 Hornet,22 Hornet|.22 Hornet,Rifle,5.7,0.224,35.56,8.9,Rimmed,7.6,7,6.2,3200,0.665,Small Rifle,1930,États-Unis,Un des plus petits calibres de carabine de chasse à percussion centrale. Idéal pour les renards et le tir nuisible silencieux à 100-150m.,,
22_lr,.22 Long Rifle,.22 Long Rifle,Rimfire,5.72,0.225,15.57,7.06,Rimmed,5.74,,5.72,1700,0.36,Rimfire,1887,États-Unis,"Le calibre à percussion annulaire le plus populaire au monde. Utilisé pour le tir de loisir, la compétition (pistolet et carabine à 50m) et l'initiation.",,
22_nosler,.22 Nosler,22 Nosler,Rifle,5.69,0.224,44.7,9.6,Rebated,10.69,10.2,6.5,3792,2.107,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
22_ppcusa,.22 PPC-USA,22 PPC|22 PPC-USA,Rifle,5.69,0.224,38.5,11.3,Rimless,11.2,10.95,6.3,,2.048,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
22_wmr,.22 Winchester Magnum Rimfire,.22 Winchester Magnum Rimfire,Rimfire,5.69,0.224,26.8,7.4,Rimmed,6.13,,6.1,1610,0.7,Rimfire,1959,États-Unis,"Une version allongée et plus puissante du .22 LR, offrant une trajectoire plus tendue et une plus grande portée pour la petite chasse ou le tir récréatif.",,
22_250_rem,.22-250 Remington,22-250 Rem.|.22-250 Remington,Rifle,5.7,0.224,48.56,12,Rimmed,11.9,10.5,6.5,4050,2.736,Large Rifle Magnum,1937,États-Unis,Calibre de chasse varmint ultra-rapide capable de dépasser les 1200 m/s avec un projectile léger. Très apprécié pour le tir de régulation.,,
220_swift,.220 Swift,220 Swift|.220 Swift,Rifle,5.69,0.224,56.13,5.69,Rimless,5.69,,5.69,4500,2.59,Small Rifle,1935,États-Unis,Calibre pionnier de la très haute vélocité (dépassant 1200 m/s). Réputé exigeant pour les canons.,,
221_remington_fireball,.221 Remington Fireball,221 Remington Fireball,Rifle,5.69,0.224,35.6,9.6,Rimmed,9.55,9.17,6.43,4137,1.331,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
222_rem,.222 Remington,222 Rem.|.222 Remington,Rifle,5.7,0.224,43.18,9.6,Rimmed,9.6,9.1,6.4,3600,1.61,Small Rifle,1950,États-Unis,Calibre mythique de Benchrest et de chasse légendaire pour sa précision. Très populaire en France en raison des anciennes législations sur les calibres militaires.,,
222_rem_mag,.222 Remington Magnum,222 Rem. Mag.,Rifle,5.69,0.224,47,9.6,Rimmed,9.6,9.1,6.4,3792,1.794,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
223_rem,.223 Remington,223 Rem.|.223 Remington,Rifle,5.7,0.224,44.7,9.6,Rimmed,9.55,9,6.43,4300,1.804,Small Rifle,1957,États-Unis,"Dérivé du .222 Rem, il a servi de base au standard militaire de l'OTAN (5.56x45mm). Universellement répandu dans les fusils de type AR-15.",,
223_wssm,.223 WSSM,223 Winchester Super Short Magnum|223 WSSM,Rifle,5.69,0.224,42.4,13.59,Rebated,14.1,13.82,6.91,4482,3.038,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
224_valkyrie,.224 Valkyrie,224 Valkyrie,Rifle,5.69,0.224,41,10.7,Rimless,10.69,10.24,6.5,3792,1.786,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
240_weatherby_magnum,.240 Weatherby Magnum,240 Weatherby Magnum,Rifle,6.17,0.243,63.4,11.99,Rimmed,11.51,10.9,6.91,,3.73,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
243_ackley_improved,.243 Ackley Improved,243 Ackley Imp|243 AI|243 Ackley Improved,Rifle,6.17,0.243,52,6.17,Rimless,6.17,,6.17,4150,3.211,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
243_win,.243 Winchester,243 Win.|.243 Winchester,Rifle,6.17,0.243,51.94,12,Rimless,12,11.5,7,4150,3.189,Small Rifle,1955,États-Unis,"Créé en rétreignant le collet de la douille du .308 Win. Très polyvalent pour le chevreuil, le renard et le tir de précision.",,
25_acp,.25 ACP,.25 ACP,Handgun,6.38,0.251,15.6,7.7,Semi-rimmed,7.1,,7.0,1700,0.3,Small Pistol,1905,Belgique / États-Unis,Conçu par John Browning pour les pistolets de poche ultra-compacts (gilets de protection). Très faible recul.,,Volume d'étui estimé (non publié C.I.P./SAAMI).
250_savage,.250 Savage,250-3000 Savage|250 Savage,Rifle,6.53,0.257,48.56,12.01,Rimless,11.86,10.25,7.25,3103,2.356,Large Rifle Magnum,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
257_roberts,.257 Roberts,257 Roberts,Rifle,6.53,0.257,56.7,12,Rimmed,12,10.9,7.4,3723,3.623,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
257_wby_mag,.257 Wby. Magnum,257 Weatherby Magnum|257 Wby. Mag.,Rifle,6.53,0.257,64.6,13.5,Belted,13,12.5,7.2,4482,4.827,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type belted, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
260_rem,.260 Remington,260 Rem.|.260 Remington,Rifle,6.71,0.264,53,12.01,Rimmed,11.95,11.53,7.54,4150,2.995,Large Rifle,1997,États-Unis,Un étui de .308 Winchester rétreint en 6.5mm. Offre des performances très similaires au 6.5 Creedmoor.,,
270_wsm,.270 WSM,270 Winchester Short Magnum|270 WSM,Rifle,7.04,0.277,53.34,13.6,Rebated,14.1,13.67,7.98,4450,4.499,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
270_weatherby_magnum,.270 Weatherby Magnum,270 Weatherby Magnum,Rifle,7.04,0.277,65,13.5,Rimmed,13,12.5,7.7,4309,5.413,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
270_win,.270 Winchester,270 Win.|.270 Winchester,Rifle,7.04,0.277,64.51,12,Rimless,11.9,11.2,7.8,4300,4.112,Large Rifle,1925,États-Unis,"Obtenu en rétreignant le collet du .30-06. Une munition légendaire de grande chasse à tir très tendu (grand gibier, plaine et montagne).",,
280_remington,.280 Remington,280 Remington,Rifle,7.21,0.284,64.5,12,Rimmed,11.9,11.2,8,4137,3.717,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
284_winchester,.284 Winchester,284 Winchester,Rifle,7.21,0.284,55.12,12.01,Rebated,12.72,12.06,8.13,3861,3.82,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
30_carbine,.30 Carbine,30 Carbine,Rifle,7.82,0.308,32.8,9.14,Rimless,9.06,,8.53,2758,1.05,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
30_r_blaser,.30 R Blaser,30 R Blaser,Rifle,7.82,0.308,60.5,7.82,Rimmed,7.82,,7.82,,4.438,Large Rifle,,Allemagne,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Allemagne. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
30_t/c,.30 T/C,30 Thompson Center|30 T/C,Rifle,7.82,0.308,48.77,12.01,Rimless,11.95,11.78,8.56,4250,3.034,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
30_06_springfield,.30-06 Springfield,30-06 Spring.|.30-06 Springfield,Rifle,7.82,0.308,63.35,12.04,Rimless,11.96,11.24,8.65,4050,3.877,Large Rifle,1906,États-Unis,"Calibre militaire des deux guerres mondiales (M1 Garand, Springfield 1903). Devenu l'une des munitions de chasse les plus utilisées au monde.",,
30_30_win,.30-30 Winchester,30-30 Win.|.30-30 Winchester,Rifle,7.82,0.308,51.82,12.9,Rimmed,10.7,10.2,8.4,3000,2.168,Large Rifle,1895,États-Unis,"Calibre emblématique des carabines de cow-boy à levier de sous-garde (Winchester 94, Marlin 336). Portée pratique limitée mais recul modéré.",,
300_blackout,.300 AAC Blackout,300 AAC Blackout|300 AAC BLK|.300 AAC Blackout,Rifle,7.82,0.308,34.7,9.6,Rimless,9.55,9.35,8.4,3800,1.044,Large Rifle Magnum,2011,États-Unis,"Développé pour offrir des performances similaires au 7.62x39mm dans une carcasse d'AR-15 standard, excellent comportement en chargement subsonique avec modérateur de son.",,
300_lapua_magnum,.300 Lapua Magnum,300 Lapua Magnum,Rifle,7.82,0.308,69.73,14.93,Belted,14.91,13.82,8.73,,6.25,Large Rifle Magnum,,Finlande,"Calibre d'arme d'épaule d'origine de type belted, développé et utilisé principalement en Finlande. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_norma_magnum,.300 Norma Magnum,300 Norma Magnum,Rifle,7.82,0.308,63.3,14.93,Belted,14.87,14.29,8.68,4206,5.75,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type belted, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_prc,.300 PRC,300 PRC|.300 PRC,Rifle,7.82,0.308,65.02,7.82,Rimless,7.82,,7.82,4400,5.571,Large Rifle Magnum,2018,États-Unis,Calibre magnum moderne sans ceinture de feu (beltless) optimisé pour loger des balles très longues à coefficient balistique très élevé pour le tir ELR.,,
300_rcm,.300 RCM,300 Ruger Compact Magnum|300 RCM,Rifle,7.82,0.308,53,13.51,Rimmed,13.51,13.08,8.64,4400,4.575,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_rem_ultra_mag,.300 Remington Ultra Magnum,300 Remington Ultra Magnum|300 Rem. Ultra Mag.,Rifle,7.82,0.308,72.4,13.56,Rimmed,13.97,13.34,8.74,4482,7.37,Large Rifle Magnum,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_savage,.300 Savage,300 Savage,Rifle,7.82,0.308,47.5,12.01,Rimless,11.96,11.33,8.61,3241,3.408,Large Rifle Magnum,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_wsm,.300 WSM,300 Winchester Short Magnum|300 WSM,Rifle,7.82,0.308,53.34,13.6,Rebated,14.1,13.7,8.7,4400,4.597,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_weatherby_magnum,.300 Weatherby Magnum,300 Weatherby Magnum,Rifle,7.82,0.308,71.8,13.5,Rimmed,13,12.5,8.5,4482,5.602,Large Rifle Magnum,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
300_win_mag,.300 Winchester Magnum,300 Win. Mag.|.300 Winchester Magnum,Rifle,7.82,0.308,66.55,13.5,Belted,13,12.4,8.6,4300,5.157,Large Rifle Magnum,1963,États-Unis,Très populaire pour le tir d'élite longue distance (militaires et forces de l'ordre) ainsi que pour la chasse au très gros gibier.,,
303_british,.303 British,303 British|.303 British,Rifle,7.92,0.312,56.44,13.7,Rimmed,11.7,10.2,8.6,3650,3.09,Large Rifle,1889,Royaume-Uni,Calibre militaire du Lee-Enfield de l'Empire britannique. À l'origine conçu pour la poudre noire avec une balle à calotte de papier.,,
308_marlin_express,.308 Marlin Express,308 Marlin Express,Rifle,7.82,0.308,48.5,12.9,Rimmed,11.9,11.5,8.7,3275,2.563,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
308_win,.308 Winchester,308 Win.|.308 Winchester,Rifle,7.82,0.308,51.18,12.01,Rimless,11.96,11.53,8.72,4150,2.981,Large Rifle,1952,États-Unis,"Standard militaire de fait (7.62x51). Calibre universel de précision pour fusils à verrou ou semi-automatiques, réputé stable et tolérant.",,
32_acp,.32 ACP,.32 ACP,Handgun,7.94,0.313,17.3,9.1,Semi-rimmed,8.6,,8.55,1410,0.55,Small Pistol,1899,Belgique,"Calibre mythique de John Browning ayant équipé d'innombrables pistolets policiers et militaires européens au XXe siècle (ex: Walther PP/PPK, Ruby).",,Volume d'étui estimé (non publié C.I.P./SAAMI).
32_sw_long,.32 S&W Long,.32 S&W Long,Handgun,7.9,0.311,23.4,9.5,Rimmed,8.6,,8.6,1000,0.95,Small Pistol,1896,États-Unis,Calibre réputé pour sa précision extrême à courte distance. Très prisé dans les épreuves de tir de précision ISSF à 25 mètres (Pistolet Sport).,,Volume d'étui estimé (non publié C.I.P./SAAMI).
338_lapua,.338 Lapua Magnum,338 Lapua Mag.|.338 Lapua Magnum,Rifle,8.61,0.339,69.2,14.93,Rimless,14.91,13.82,9.46,4200,6.389,Large Rifle Magnum,1989,Finlande,Conçu spécifiquement pour le tir de précision militaire longue distance (jusqu'à 1500m+) afin de se situer entre le 7.62 NATO et le .50 BMG.,,
338_norma_mag,.338 Norma Magnum,338 Norma Mag.,Rifle,8.61,0.339,63.3,14.93,Belted,14.87,14.5,9.4,4350,6.159,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type belted, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
338_win_mag,.338 Winchester Magnum,338 Winchester|338 Win. Mag.,Rifle,8.61,0.339,63.5,13.51,Belted,13.03,12.47,9.37,4300,4.684,Large Rifle Magnum,,États-Unis,"Calibre d'arme d'épaule d'origine de type belted, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
357_magnum,.357 Magnum,357 Magnum|.357 Magnum,Handgun,9.07,0.357,32.77,11.2,Rimmed,9.6,,9.6,3000,1.12,Small Pistol Magnum,1934,États-Unis,Créé en allongeant la douille du .38 Special pour supporter de très fortes pressions. Un grand classique pour revolvers de défense et de sport.,,
357_sig,.357 SIG,357 SIG|.357 SIG,Handgun,9.02,0.355,21.97,10.77,Rimless,10.77,,9.68,2760,0.518,Small Pistol,1994,Suisse / États-Unis,Créé en rétreignant un étui de .40 S&W pour y loger une balle de 9mm. Conçu pour reproduire la balistique du .357 Mag dans un pistolet semi-automatique.,,
375_hh_mag,.375 Holland & Holland Magnum,375 H&H Mag.|.375 Holland & Holland Magnum,Rifle,9.53,0.375,72,13.5,Belted,13,11.4,10.2,4300,5.154,Large Rifle Magnum,1912,Royaume-Uni,La référence absolue pour le safari africain. Considéré comme le calibre minimum légal pour la chasse aux « Big Five » (les 5 grands fauves) dans de nombreux pays.,,
375_ruger,.375 Ruger,375 Ruger,Rifle,9.53,0.375,65.53,9.53,Rimmed,9.53,,9.53,4300,5.511,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
38_special,.38 Smith & Wesson Special,38 Special|.38 Smith & Wesson Special,Handgun,9.07,0.357,29.34,11,Rimmed,9.6,,9.6,1500,1.032,Large Pistol,1898,États-Unis,"Le calibre de revolver le plus populaire au monde, réputé pour sa précision exceptionnelle et son recul modéré.",,
380_acp,.380 ACP,380 Auto|380 ACP|9mm Kurz|9 mm Browning court|.380 ACP,Handgun,9.02,0.355,17.27,9.5,Rimless,9.5,,9.5,1500,0.434,Small Pistol,1908,États-Unis,Conçu pour les pistolets semi-automatiques compacts à culasse non calée (blowback). Populaire pour la défense personnelle.,,
40_sw,.40 Smith & Wesson,40 S&W|.40 Smith & Wesson,Handgun,10.17,0.4,21.59,10.8,Rimmed,10.8,,10.7,2250,0.648,Small Pistol,1990,États-Unis,"Compromis entre le 9mm Parabellum et le .45 ACP, conçu à la demande du FBI après la fusillade de Miami.",,
408_cheytac,.408 Cheyenne Tactical,.408 Cheyenne Tactical,Rifle,10.36,0.408,77.21,16.25,Rimless,16.18,15.24,11.12,4400,10.32,Large Rifle Magnum,2001,États-Unis,Conçu pour combler le vide entre le .338 Lapua et le .50 BMG. Détient de nombreux records mondiaux de tir à très longue distance (ELR).,,
41_rem_mag,.41 Remington Magnum,41 Remington Magnum|41 Rem. Mag.|.41 Remington Magnum,Handgun,10.41,0.41,32.8,12.5,Rimmed,11.02,,11.02,2480,1.404,Large Pistol Magnum,1964,États-Unis,Calibre intermédiaire de revolver destiné à combler le fossé entre le .357 Magnum et le .44 Magnum pour le maintien de l'ordre.,,
416_barrett,.416 Barrett,.416 Barrett,Rifle,10.6,0.417,83.0,20.4,Rimless,20.4,18.5,11.6,4000,13.0,Large Rifle Magnum,2005,États-Unis,"Développé en modifiant un étui de .50 BMG. Conçu pour le tir à ultra-longue distance, avec un vol supersonique au-delà de 2000 mètres.",,Pression maximale indicative (cartouche non normalisée C.I.P.).
416_rigby,.416 Rigby,416 Rigby,Rifle,10.57,0.416,73.66,14.99,Rimmed,14.96,13.72,11.33,4482,6.463,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
44_magnum,.44 Remington Magnum,44 Rem. Mag.|.44 Remington Magnum,Handgun,10.92,0.43,32.61,13.1,Rimmed,11.6,,11.6,3000,1.56,Large Pistol Magnum,1955,États-Unis,Popularisé par le film 'L'Inspecteur Harry'. Calibre mythique pour la chasse de gros gigier à l'arme de poing et la silhouette métallique.,,
44_special,.44 Smith & Wesson Special,.44 Smith & Wesson Special,Handgun,10.97,0.432,29.46,13.06,Rimmed,11.61,,11.61,1100,1.62,Large Pistol,1907,États-Unis,Grand frère historique du .44 Magnum. Réputé pour sa douceur et sa précision dans les revolvers compacts.,,
44_40_win,.44-40 Winchester,.44-40 Winchester,Rifle,10.9,0.429,33.1,13.3,Rimmed,12.0,11.6,11.3,760,2.6,Large Pistol,1873,États-Unis,Premier calibre polyvalent moderne permettant d'utiliser les mêmes cartouches dans sa carabine Winchester 1873 et son revolver Colt Frontier.,,
444_marlin,.444 Marlin,444 Marlin,Rifle,10.9,0.429,56.64,13.1,Rimmed,11.95,,11.5,2900,3.316,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
