id,name,aliases,category,bullet_diameter_mm,bullet_diameter_in,case_length_mm,rim_diameter_mm,rim_type,base_diameter_mm,shoulder_diameter_mm,neck_diameter_mm,max_pressure_bar,case_volume_cm3,primer_type,intro_year,origin_country,description,wiki_url,data_note
45_acp,.45 ACP,45 Auto|45 Auto / .45 ACP|45 ACP (Auto)|.45 ACP,Handgun,11.48,0.452,22.81,12.2,Rimless,12.1,,12,1300,1.126,Small Pistol,1904,États-Unis,Développé par John Browning pour le célèbre pistolet Colt M1911. Calibre lourd et lent doté d'un excellent pouvoir d'arrêt.,,
45_colt,.45 Colt,45 Colt|.45 Colt,Handgun,11.48,0.452,32.61,13,Rimmed,12.2,,12.2,1100,1.837,Large Pistol,1872,États-Unis,Calibre historique du revolver Colt Single Action Army (Peacemaker) à l'époque de la conquête de l'Ouest. Très populaire en Cowboy Action Shooting.,,
45_winchester_magnum,.45 Winchester Magnum,45 Winchester Magnum,Handgun,11.5,0.453,30.4,12.19,Rimmed,12.09,,12.01,2861,1.89,Large Pistol Magnum,,États-Unis,"Calibre d'arme de poing d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
45_70_govt,.45-70 Government,45-70 Government|45 - 70 Govt.|.45-70 Government,Rifle,11.63,0.458,53.5,15.4,Rimmed,12.8,,12.2,1930,3.301,Large Rifle,1873,États-Unis,Munition de l'armée américaine à la fin du XIXe siècle. Très prisée dans les carabines modernes à levier de sous-garde pour la chasse en sous-bois.,,
450_bushmaster,.450 Bushmaster,.450 Bushmaster,Rifle,11.48,0.452,43.2,12.01,Rebated,12.7,,12.19,2650,3.86,Large Rifle,2007,États-Unis,"Conçu pour le concept de 'gros calibre' (Thumper) dans la plateforme AR-15, tirant des balles de .452"" à courte distance pour la chasse en battue.",,
454_casull,.454 Casull,454 Casull|.454 Casull,Handgun,11.48,0.452,35.1,13,Rimmed,12.19,,12.19,4482,2.163,Large Pistol,1957,États-Unis,"Développé par Dick Casull. Version sur-vitaminée du .45 Colt conçue pour résister à d'immenses pressions, destinée à la chasse aux grands fauves.",,
458_socom,.458 SOCOM,458 SOCOM,Rifle,11.63,0.458,40,12.01,Rebated,13.74,13.49,12.32,2410,3.604,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
458_win_mag,.458 Winchester Magnum,458 Winchester Magnum|.458 Winchester Magnum,Rifle,11.63,0.458,63.5,13.5,Rimmed,13,12.8,12.2,4137,5.214,Large Rifle,1956,États-Unis,Créé pour remplacer les coûteux calibres anglais de double Express en safari. Calibre lourd et puissant pour éléphants et buffles.,,
460_sw_mag,.460 S&W Magnum,460 S&W Magnum|460 S&W|.460 S&W Magnum,Handgun,11.48,0.452,46,13.21,Rimmed,12.14,,12.14,4482,3.07,Large Pistol Magnum,2005,États-Unis,Le calibre de revolver à percussion centrale de série le plus rapide du monde. Développé pour la chasse à longue distance.,,
50_ae,.50 Action Express,50 Action Express|50 AE|.50 Action Express,Handgun,12.7,0.5,32.6,13.06,Rebated,13.79,,13.49,2413,3.412,Large Pistol,1988,États-Unis,Munition reine du pistolet semi-automatique Desert Eagle. Diamètre de culot réduit (identique au .44 Mag) pour faciliter la conversion d'armes.,,
50_bmg,.50 BMG,.50 BMG,Rifle,12.65,0.498,99.31,20.42,Rimless,20.42,18.14,14.22,3700,18.97,Large Rifle Magnum,1921,États-Unis,Munition lourde de mitrailleuse lourde (M2 Browning) et de fusil de précision à très longue portée antimatériel (ex: Barrett M82).,,
500_sw_mag,.500 S&W Magnum,.500 S&W Magnum,Handgun,12.7,0.5,41.3,14.1,Semi-rimmed,13.4,,13.4,4100,3.5,Large Rifle,2003,États-Unis,Conçu par Smith & Wesson pour son revolver géant à carcasse X. L'une des munitions d'arme de poing de série les plus énergétiques.,,Volume d'étui estimé (non publié C.I.P./SAAMI).
103_x_60_r,10.3 × 60 R,10.3 x 60 R,Rifle,10.3,0.406,60,10.3,Rimmed,10.3,,10.3,,4.786,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
10mm_auto,10mm Auto,10 mm Auto|10mm Auto,Handgun,10.17,0.4,25.2,10.8,Rimless,10.8,,10.74,2300,0.879,Large Pistol,1983,États-Unis,"Calibre d'arme de poing très puissant à trajectoire tendue, initialement adopté par le FBI avant d'être jugé trop puissant pour un usage généralisé.",,
219_zipper,219 Zipper,219 Zipper,Rifle,5.69,0.224,49.2,12.85,Rimmed,10.72,9.27,6.43,,2.103,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
25_06_remington,25-06 Remington,25-06 Remington,Rifle,6.53,0.257,63.3,12,Rimmed,11.9,11.2,7.4,4344,3.675,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
33806,338-06,338-06 A-Square|338-06,Rifle,8.59,0.338,63.3,12.01,Rimless,11.99,11.2,9.37,,3.707,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
35_remington,35 Remington,35 Remington,Rifle,9.09,0.358,48.8,11.7,Rimmed,11.6,10.3,9.8,2310,3.618,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
357_maximum,357 Maximum,357 Maximum-T/C|357 Rem Max|357 Remington Maximum|357 Maximum,Handgun,9.07,0.357,40.8,11.18,Rimmed,9.63,,9.63,2760,1.64,Large Pistol,,Inconnu,"Calibre d'arme de poing d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
38_super_auto,38 Super Auto,38 Super|38 Super Auto,Handgun,9.07,0.357,22.94,10.31,Rimmed,9.78,,9.78,2400,0.79,Small Pistol,,Inconnu,"Calibre d'arme de poing d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
475_linebaugh,475 Linebaugh,475 Linebaugh,Handgun,12.06,0.475,36,13.72,Rimmed,12.8,,12.8,3450,3.481,Large Pistol,,États-Unis,"Calibre d'arme de poing d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
545x39_m74,5.45×39mm,5.45×39mm,Rifle,5.6,0.22,39.82,10.0,Rimless,10.0,9.25,6.29,3550,1.75,Small Rifle,1974,Union Soviétique,"Réponse soviétique au 5.56 NATO. Utilisé dans le fusil d'assaut AK-74, réputé pour sa flèche très tendue et son recul quasi-inexistant.",,
56_x_50_r_mag,5.6 × 50 R Magnum,5.6 x 50 R Mag.,Rifle,5.7,0.224,50,5.7,Rimmed,5.7,,5.7,,1.9,Large Rifle Magnum,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
57x28_fn,5.7×28mm,5.7×28mm,Handgun,5.7,0.224,28.9,7.8,Rebated,7.95,7.95,6.38,3450,0.9,Small Rifle,1990,Belgique,Conçu par la FN Herstal pour remplacer le 9mm dans les rôles de défense individuelle (P90 et Five-seveN). Projectile léger ultra-rapide.,,
6_norma_br,6 Norma BR,6 mm BR Norma|6mm BR Norma|6mm BR|6BR|6mmBR Norma|6 Norma BR,Rifle,6.17,0.243,39.62,12.01,Rimless,12.01,11.63,6.86,4050,2.172,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
6_xc,6 XC,6 XC,Rifle,6.17,0.243,40.9,11.86,Rimless,11.84,11.42,6.82,,2.871,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
65_creedmoor,6.5 Creedmoor,6.5 Creedmoor,Rifle,6.71,0.264,48.77,12.01,Rimless,11.95,11.73,7.49,4350,2.967,Large Rifle,2007,États-Unis,"Calibre moderne développé par Hornady. Standard de fait pour le tir à longue distance (TLD) à faible recul, optimisé pour les culasses courtes d'action standard.",,
65_grendel,6.5 Grendel,6.5 Grendel AR-15|6.5 Grendel,Rifle,6.71,0.264,38.7,11.2,Rimless,11.15,10.87,7.44,3585,2.785,Large Rifle,2003,États-Unis,Développé pour maximiser les performances à moyenne et longue distance de la plateforme AR-15 en remplaçant la munition 5.56 NATO.,,
65_prc,6.5 PRC,6.5 PRC,Rifle,6.71,0.264,51.81,6.71,Rimless,6.71,,6.71,4400,3.948,Large Rifle,2018,États-Unis,Version 'Magnum' moderne du 6.5 Creedmoor conçue par Hornady. Offre environ 80 m/s de vitesse supplémentaire pour le tir à longue distance et la chasse.,,
65284_norma,6.5-284 Norma,6.5 x 284 Norma|6.5-284 Norma,Rifle,6.71,0.264,55.1,12.01,Rebated,12.73,12.07,7.54,3999,4.485,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
65x47_lapua,6.5×47mm Lapua,6.5 x 47 Lapua|6.5×47mm Lapua,Rifle,6.71,0.264,47,12.01,Rimless,11.95,11.59,7.41,4400,2.843,Large Rifle,2005,Finlande,Développé spécifiquement par Lapua pour la compétition de tir de précision à 300m. Exceptionnellement régulier.,,
65x55_swedish,6.5×55mm Swedish,6.5 x 55mm Swedish Mauser|6.5x55 Swedish|6.5 x 55 SE|6.5×55mm Swedish,Rifle,6.71,0.264,55,12.2,Rimless,12.2,11.04,7.6,3800,3.419,Large Rifle,1894,Suède / Norvège,"Calibre militaire historique scandinave (Mauser suédois), légendaire pour sa précision, son recul doux et la grande densité de section de ses projectiles.",,
68_western,6.8 Western,6.8 Western,Rifle,7.04,0.277,51.3,13.59,Rebated,14.1,13.69,7.98,4482,4.294,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
6mm_arc,6mm ARC,6 mm ARC|6mm ARC,Rifle,6.17,0.243,37.85,11.2,Rimless,11.2,10.92,6.96,3585,2.014,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
6mm_creedmoor,6mm Creedmoor,6 mm Creedmoor|6mm Creedmoor,Rifle,6.17,0.243,48.8,12.01,Rimless,11.95,11.73,6.85,4275,3.033,Small Rifle,2007,États-Unis,"Version de compétition issue du 6.5 Creedmoor, optimisée pour le tir à très longue distance avec un recul encore plus modéré.",,
6mm_ppc,6mm PPC,6 PPC|6 mm PPC-USA|6mm PPC-USA|6mm PPC,Rifle,6.17,0.243,38.5,11.3,Rimless,11.2,10.95,6.65,,1.998,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
6_mm_remington,6mm Remington,6 mm Remington,Rifle,6.17,0.243,56.7,12,Rimmed,12,10.9,7,4482,3.261,Small Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
6mm_xc,6mm XC,6mm XC|6XC,Rifle,6.17,0.243,39.6,6.17,Rimless,6.17,,6.17,,2.967,Small Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
6x47_lapua,6x47 Lapua,6x47 Lapua,Rifle,6.17,0.243,47,6.17,Rimless,6.17,,6.17,,2.79,Small Rifle,,Finlande,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Finlande. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7_x_57_r,7 × 57 R,7 x 57 R,Rifle,7.24,0.285,57,7.24,Rimmed,7.24,,7.24,,3.209,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7_x_65_r,7 × 65 R,7 x 65R|7 x 65 R,Rifle,7.24,0.285,65,7.24,Rimmed,7.24,,7.24,,3.743,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
75_swiss_rev,7.5mm 1882 Swiss,7.5mm 1882 Swiss,Handgun,7.82,0.308,22.6,9.5,Rimmed,8.8,,8.4,1100,0.75,Small Pistol,1882,Suisse,Munition de service du revolver d'ordonnance suisse Modèle 1882. Chargée à l'origine à la poudre noire puis à la poudre sans fumée.,,
75x54_french,7.5×54mm French,7.5×54mm French,Rifle,7.84,0.309,54.0,12.34,Rimless,12.25,11.3,8.66,3800,3.76,Large Rifle,1929,France,"Calibre de service français pour les fusils MAS 36, MAS 49/56 et fusils-mitrailleurs 24/29.",,
75x55_swiss,7.5×55mm Swiss,7.5 x 55 Swiss|7.5×55mm Swiss,Rifle,7.77,0.306,55.6,12.65,Rimless,12.64,11.63,8.58,3800,3.718,Large Rifle,1911,Suisse,Munition militaire d'ordonnance suisse (GP11) utilisée dans le K31. Exceptionnelle régularité de fabrication d'origine.,https://www.tireur.org/wiki/doku.php?id=technique:cartouche_7-5x55,
762x25_tokarev,7.62×25mm Tokarev,7.62×25mm Tokarev,Handgun,7.85,0.309,25.0,9.95,Rimless,9.83,9.48,8.5,2500,1.09,Small Pistol,1930,Union Soviétique,Calibre à douille bouteille ultra-rapide utilisé dans les pistolets TT-33 et pistolets-mitrailleurs (PPSh-41). Forte capacité de perforation.,,
762x39_m43,7.62×39mm,7.62 x 39|7.62×39mm,Rifle,7.85,0.309,38.7,11.35,Rimless,11.35,10.07,8.6,3550,1.77,Large Rifle,1943,Union Soviétique,Calibre de l'AK-47 et de la SKS. Conçu pour le combat à moyenne portée. Munition économique et rustique.,,
762x54r,7.62×54mmR,7.62 x 54 R|7.62×54mmR,Rifle,7.92,0.312,53.7,14.48,Rimmed,12.37,11.61,8.53,3900,3.65,Large Rifle,1891,Union Soviétique,"Le plus ancien calibre militaire toujours en service actif dans le monde (Dragunov SVD, PKM, Mosin-Nagant). Puissant et doté d'un gros bourrelet.",,
763_mauser,7.63×25mm Mauser,7.63×25mm Mauser,Handgun,7.86,0.309,25.15,9.9,Rimless,9.85,9.6,8.46,2250,0.78,Small Pistol,1896,Allemagne,Munition d'origine du pistolet Mauser C96. Très proche du Tokarev mais avec une pression de fonctionnement légèrement inférieure.,,
765_luger,7.65×21mm Parabellum,7.65×21mm Parabellum,Handgun,7.85,0.309,21.59,9.98,Rimless,9.93,,8.43,2350,0.93,Small Pistol,1898,Allemagne,Prédécesseur du 9x19mm Parabellum. Utilisé notamment dans le pistolet Luger original et adopté par l'armée suisse.,,
765_argentined,7.65×53mm Argentine,7.65×53mm Argentine,Rifle,7.94,0.313,53.6,12.05,Rimless,12.01,10.9,8.78,3900,3.7,Large Rifle,1889,Allemagne,Calibre militaire historique conçu par Mauser pour la Belgique et l'Argentine. Très proche balistiquement du .303 British ou du 7.62x54R.,,
7mm_br_remington,7mm BR Remington,7 mm BR Remington|7mm BR Remington,Rifle,7.21,0.284,38.6,12.01,Rimmed,12,11.68,8,,2.248,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7mm_prc,7mm PRC,7 mm PRC|7mm PRC,Rifle,7.21,0.284,57,7.21,Rimless,7.21,,7.21,4482,4.4,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimless, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7mm_rum,7mm RUM,7mm Remington Ultra Magnum|7mm RUM,Rifle,7.21,0.284,72.4,13.51,Rimmed,13.97,13.34,8.05,4482,6.098,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7mm_rem_mag,7mm Remington Magnum,7mm Remington Magnum|7 Rem. Mag.,Rifle,7.24,0.285,64.77,13.5,Belted,13,12.5,8,4300,5.099,Large Rifle,1962,États-Unis,"Une des munitions magnum de grande chasse les plus populaires au monde, réputée pour sa vitesse et son énergie résiduelle à longue distance.",,
7mm_wsm,7mm WSM,7 mm WSM|7mm Winchester Short Magnum|7mm WSM,Rifle,7.21,0.284,53.3,13.59,Rebated,14.1,13.67,8.15,4482,4.539,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7mm_weatherby_magnum,7mm Weatherby Magnum,7mm Weatherby Magnum,Rifle,7.21,0.284,64.7,13.46,Rimmed,12.98,12.45,7.92,4482,5.23,Large Rifle,,États-Unis,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
7mm_08_rem,7mm-08 Remington,7 mm-08 Remington|7mm-08 Remington|7 -08 Rem.,Rifle,7.24,0.285,51.94,12,Rimmed,11.9,11.5,8,4150,2.717,Large Rifle,1980,États-Unis,Douille de .308 rétreinte en 7mm. Offre un excellent équilibre entre le recul modéré et une excellente efficacité à la chasse et en TLD.,,
7x57_mauser,7×57mm Mauser,7 x 57|7×57mm Mauser|7x57|7x57 Mauser,Rifle,7.24,0.285,57,12.1,Rimless,12.01,10.92,8.25,3900,3.357,Large Rifle,1892,Allemagne,Calibre militaire historique adopté par l'Espagne et plusieurs pays d'Amérique du Sud. Réputé pour son recul confortable et sa pénétration élevée.,,
7x64_brenneke,7×64mm Brenneke,7 x 64|7×64mm Brenneke|7x64|7x64 Brenneke,Rifle,7.24,0.285,64,11.95,Rimless,11.85,10.8,7.95,4150,3.798,Large Rifle,1917,Allemagne,"Une des munitions de chasse au grand gibier les plus populaires d'Europe centrale et de France, conçue par Wilhelm Brenneke.",,
8_x_57_irs,8 × 57 IRS,8 x 57 IRS,Rifle,8.2,0.323,57,14,Rimmed,11.95,10.95,9.08,3650,3.557,Large Rifle,,Inconnu,"Calibre d'arme d'épaule d'origine de type rimmed, développé et utilisé principalement en Inconnu. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
8mm_lebel_rev,8mm Lebel Revolver,8mm Lebel Revolver,Handgun,8.35,0.329,27.2,10.4,Rimmed,9.75,,9.0,1150,0.95,Small Pistol,1892,France,Conçue pour le Revolver Modèle 1892 français d'ordonnance. Munition de service de l'armée française durant la Grande Guerre.,,
8x50r_lebel,8×50mmR Lebel,8×50mmR Lebel,Rifle,8.3,0.327,50.5,16.0,Rimmed,13.77,11.42,8.85,3200,4.0,Large Rifle,1886,France,"La toute première cartouche militaire chargée de poudre sans fumée (poudre B) de l'histoire, adoptée pour le fusil Lebel Mle 1886.",,Volume d'étui estimé (non publié C.I.P./SAAMI).
8x57_is,8×57mm IS (8mm Mauser),8 x 57 IS|8×57mm IS (8mm Mauser)|8x57 Mauser|8x57 IS|8x57 JS|8x57,Rifle,8.2,0.323,57,11.95,Rimless,11.94,10.95,9.08,3900,3.489,Large Rifle,1905,Allemagne,"Calibre militaire légendaire du Mauser 98k. Attention : ne pas confondre avec le 8x57 I (diamètre de balle de .318"").",,
8x68s,8×68mm S,8 x 68 S|8×68mm S,Rifle,8.2,0.323,67.5,13,Rebated,13.3,12.15,9.14,4400,5.059,Large Rifle,1939,Allemagne,"L'un des calibres de chasse de 8mm les plus performants, souvent appelé 'Magnum sans ceinture de feu allemand'. Conçu pour les chasses de montagne et de plaine de gros gibier.",,
9_x_23_winchester,9 × 23 Winchester,9 x 23 Winchester,Handgun,9.04,0.356,22.86,10.01,Rimless,9.93,,9.68,3792,0.8,Small Pistol,,États-Unis,"Calibre d'arme de poing d'origine de type rimless, développé et utilisé principalement en États-Unis. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
93_x_64_brenneke,9.3 × 64 Brenneke,9.3 x 64 Brenneke,Rifle,9.3,0.366,64,12.6,Rebated,12.88,12.05,10.04,4400,4.82,Large Rifle,,Allemagne,"Calibre d'arme d'épaule d'origine de type rebated, développé et utilisé principalement en Allemagne. Ce calibre est entièrement pris en charge par le simulateur de balistique intérieure du site.",,
93x62_mauser,9.3×62mm Mauser,9.3x62 Mauser|9.3x62|9.3 x 62|9.3×62mm Mauser,Rifle,9.3,0.366,62,11.95,Rebated,12.1,11.45,9.92,3900,3.97,Large Rifle,1905,Allemagne,Conçue par Otto Bock pour les colons européens en Afrique. Une munition formidable pour la chasse en battue du sanglier et des grands cervidés.,,
93x74r,9.3×74mmR,9.3 x 74 R|9.3×74mmR,Rifle,9.3,0.366,74,13.35,Rimmed,11.9,10.4,9.92,3900,4.616,Large Rifle,1900,Allemagne,Version à bourrelet pour carabines express (canons basculants) du calibre 9.3mm. Calibre roi de la battue de grand gibier en France.,,
9x18_makarov,9×18mm Makarov,9×18mm Makarov,Handgun,9.27,0.365,18.1,9.95,Rimless,9.95,,9.91,1620,0.83,Small Pistol,1951,Union Soviétique,Calibre militaire soviétique standard pour le pistolet Makarov. Le projectile est légèrement plus large que le 9mm occidental.,,
9x19_parabellum,9×19mm Parabellum,9 mm Luger / 9x19 mm|9x19|9 mm Luger|9×19mm Parabellum,Handgun,9.02,0.355,19.15,9.96,Rimless,9.93,,9.65,2350,0.563,Small Pistol,1902,Allemagne,Le calibre d'arme de poing le plus répandu au monde. Standard de l'OTAN pour les pistolets et pistolets-mitrailleurs.,,
9x21_imi,9×21mm IMI,9×21mm IMI,Handgun,9.03,0.356,21.15,9.92,Rimless,9.9,,9.63,2350,0.62,Small Pistol,1984,Israël,Développé par Israel Military Industries (IMI) pour contourner les législations interdisant le 9x19mm militaire dans certains pays européens (ex. Italie).,,
